Sym,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL5RA,0.139349089871052,8.77495772036542,2.50359969175476,0.0595415588271524,0.250012045414176,-4.64620581750383
TRAF2,0.139334058512656,10.0392522161145,2.08986614315485,0.0969819182401622,0.313569243384089,-5.17154376424774
ABHD5,0.139293784292105,8.61430546204306,2.58270288389111,0.0543879870283784,0.241038147224262,-4.54715482094711
SPAG9,-0.139279158293627,9.02708431230886,-2.79020337744348,0.0430886492612993,0.217509529971029,-4.29059518033571
GUCY2F,0.139164067661076,8.71437982295471,2.71013928713423,0.0471020472232033,0.225280904476463,-4.38898440439081
SERPINA6,0.139157657266852,9.19673946630065,2.0767075429297,0.0985331899551519,0.315591148479897,-5.18834839487528
FOSL1,0.139151310550881,9.79030305369156,2.97236546573581,0.0353205381682572,0.200042035806056,-4.06988016119213
MXRA8,0.139114323804225,10.675362696997,1.9392578874108,0.116421560056349,0.340423287483831,-5.36369819072482
SERPINE2,-0.139112291078707,8.79405469768837,-2.52107628361462,0.0583577390413506,0.248305182649958,-4.62426946522072
SFPQ,-0.13906719595512,10.2157838982088,-1.38528087862194,0.230560992803924,0.469635510639485,-6.04884845815436
CELF3,0.139060704460162,9.71049294478782,1.71385962511822,0.153563914477799,0.385590974122571,-5.64866046786946
KRT75,0.138975122595703,9.95505548607913,1.41036917386189,0.22353228986021,0.462544543526789,-6.01929224354982
CD6,0.138974378844924,9.98643842267149,2.54346540227878,0.0568792904649978,0.245694625960628,-4.5962097035496
PPP1R7,-0.138947521955291,10.007899639366,-1.37540576954281,0.233385607356323,0.472923592046457,-6.06042480684217
SOX15,0.138883170740613,9.38149653762136,1.19716026345524,0.290359065071276,0.533737874412427,-6.26298167537265
POLG,0.138764287037491,9.9763198140063,1.76717236605396,0.143788075501469,0.374806964877129,-5.58173928886814
GABARAPL1,-0.138710534507924,8.57517629080503,-2.65026470239162,0.0503791454450745,0.231885686162058,-4.46307040611373
